Product_ID,Product_Name,Category,Sub_Category,Brand,Gender,Size_Available,Color,Texture,Material_Quality,Trend_Tag,Price,Discount_Percent,Accessories_Match,Brand_Ambassador,Season,Launch_Year,In_Stock,Ratings
MTR10010,Basic Sandals,Accessories,Shirts,Nike,Men,UK 6–11,Grey,Textured,Recycled,Retro,3405,25%,Sunglasses,Kiara Advani,Summer,2024,No,3.6
MTR10011,Printed Shirts,Bottomwear,Sneakers,Zara,Women,Free Size,Pastel Green,Smooth,Recycled,Streetwear,865,10%,Leather Belt,Kiara Advani,Summer,2025,No,4.9
MTR10012,Floral Jeans,Winterwear,Kurtis,Allen Solly,Women,"M, L, XL",Grey,Smooth,Eco-Friendly,Minimalist,5794,25%,Statement Brooch,Kiara Advani,All Season,2024,No,3.6
MTR10013,Casual Kurtis,Ethnic,Blazers,Nike,Women,"XS, S, M, L",Beige,Textured,Premium,Minimalist,2051,20%,Silver Jhumkas,Kiara Advani,Summer,2023,Yes,4.0
MTR10014,Basic T-Shirt,Footwear,T-Shirt,Biba,Women,"XS, S, M, L",White,Soft,Eco-Friendly,Boho,4162,30%,Sports Socks,Kareena Kapoor,Winter,2024,Yes,4.4
MTR10015,Floral Sneakers,Ethnic,T-Shirt,Allen Solly,Men,"XS, S, M, L",Yellow,Smooth,Standard,Athleisure,5534,20%,Watch,Virat Kohli,Winter,2023,Yes,4.2
MTR10016,Graphic Sandals,Winterwear,Blazers,U.S. Polo Assn.,Women,"M, L, XL",Black,Ribbed,Recycled,Streetwear,2613,30%,Leather Belt,Virat Kohli,Summer,2025,No,4.6
MTR10017,Slim Fit Kurtis,Accessories,Shirts,Zara,Men,UK 6–11,Beige,Rough,Eco-Friendly,Athleisure,2607,25%,Cap,None,Summer,2024,Yes,3.6
MTR10018,Formal Hoodies,Winterwear,Jeans,Allen Solly,Unisex,UK 6–11,Olive,Textured,Eco-Friendly,Minimalist,990,20%,Statement Brooch,Ranveer Singh,Summer,2024,No,4.6
MTR10019,Graphic Tracks,Accessories,Sandals,Roadster,Men,"XS, S, M, L",Red,Smooth,Premium,Y2K,3801,15%,Sunglasses,Ranveer Singh,Winter,2025,No,5.0
MTR10020,Basic Tracks,Topwear,Jeans,H&M,Men,"S, M, L, XL",Pastel Green,Textured,Recycled,Y2K,943,30%,Leather Belt,Virat Kohli,Winter,2023,Yes,4.4
MTR10021,Floral Jeans,Topwear,T-Shirt,H&M,Men,UK 6–11,Black,Textured,Standard,Streetwear,3535,10%,Statement Brooch,Kareena Kapoor,Summer,2025,Yes,4.7
MTR10022,Slim Fit Shirts,Winterwear,Shirts,Roadster,Unisex,"XS, S, M, L",White,Textured,Premium,Y2K,4681,25%,Cap,Deepika Padukone,All Season,2023,No,4.2
MTR10023,Graphic Kurtis,Topwear,T-Shirt,Biba,Women,"S, M, L, XL",Pink,Rough,Premium,Minimalist,5080,25%,Sports Socks,Ranveer Singh,Winter,2023,No,4.9
MTR10024,Slim Fit Jeans,Footwear,Tracks,Zara,Unisex,"S, M, L, XL",Black,Soft,Eco-Friendly,Boho,2003,25%,Sunglasses,Virat Kohli,Summer,2024,Yes,3.6
MTR10025,Graphic Kurtis,Footwear,Shirts,U.S. Polo Assn.,Unisex,"XS, S, M, L",Red,Matte,Standard,Retro,4497,15%,Statement Brooch,None,Winter,2025,Yes,4.5
MTR10026,Printed Sandals,Topwear,Kurtis,Roadster,Women,"M, L, XL",Black,Glossy,Eco-Friendly,Streetwear,2715,10%,Silver Jhumkas,Kiara Advani,All Season,2024,Yes,4.5
MTR10027,Slim Fit Kurtis,Accessories,Jeans,H&M,Unisex,"XS, S, M, L",Black,Glossy,Recycled,Minimalist,3811,10%,Sunglasses,None,All Season,2023,No,4.5
MTR10028,Floral Shirts,Accessories,T-Shirt,U.S. Polo Assn.,Unisex,Free Size,White,Textured,Eco-Friendly,Athleisure,3020,10%,Watch,Virat Kohli,Winter,2023,Yes,3.8
MTR10029,Floral Jeans,Topwear,Hoodies,Zara,Women,Free Size,Red,Smooth,Standard,Boho,3775,10%,Sunglasses,Kiara Advani,Summer,2025,No,3.9
MTR10030,Basic Blazers,Ethnic,Scarves,H&M,Unisex,"XS, S, M, L",Yellow,Matte,Premium,Minimalist,2408,25%,Statement Brooch,Kareena Kapoor,All Season,2023,No,3.8
MTR10031,Formal Jeans,Winterwear,Jeans,Nike,Women,"XS, S, M, L",Yellow,Matte,Standard,Boho,1000,20%,Silver Jhumkas,Kareena Kapoor,Summer,2024,Yes,3.7
MTR10032,Floral Sneakers,Accessories,Shirts,Nike,Women,"S, M, L, XL",Navy Blue,Textured,Premium,Y2K,4567,25%,Sports Socks,Kiara Advani,Winter,2023,Yes,3.7
MTR10033,Graphic Scarves,Accessories,Sneakers,H&M,Men,"S, M, L, XL",Pastel Green,Glossy,Premium,Minimalist,2795,25%,Silver Jhumkas,Kiara Advani,Summer,2024,Yes,3.9
MTR10034,Slim Fit Shirts,Ethnic,Shirts,Roadster,Men,UK 6–11,Pastel Green,Ribbed,Recycled,Retro,5353,10%,Watch,None,Winter,2024,No,3.7
MTR10035,Printed Hoodies,Ethnic,Scarves,Levi’s,Men,"M, L, XL",Olive,Smooth,Standard,Streetwear,2650,15%,Cap,Deepika Padukone,All Season,2024,No,3.9
MTR10036,Formal Sandals,Winterwear,Jeans,Biba,Women,UK 6–11,Pink,Glossy,Standard,Retro,5988,20%,Statement Brooch,Kareena Kapoor,All Season,2025,No,3.6
MTR10037,Floral Kurtis,Ethnic,Hoodies,Nike,Women,UK 6–11,Grey,Textured,Recycled,Athleisure,5340,10%,Sports Socks,Kareena Kapoor,All Season,2024,Yes,4.9
MTR10038,Casual T-Shirt,Footwear,Blazers,Levi’s,Unisex,"S, M, L, XL",Yellow,Soft,Recycled,Retro,4546,30%,Cap,Deepika Padukone,Summer,2024,Yes,4.4
MTR10039,Casual Tracks,Accessories,Hoodies,Puma,Men,"M, L, XL",Navy Blue,Soft,Recycled,Y2K,2630,25%,Sports Socks,Ranveer Singh,Winter,2023,Yes,5.0
MTR10040,Basic Tracks,Footwear,Tracks,Zara,Unisex,UK 6–11,Beige,Matte,Recycled,Athleisure,3540,10%,Cap,Ranveer Singh,Summer,2025,No,4.1
MTR10041,Slim Fit Tracks,Ethnic,Hoodies,Adidas,Women,UK 6–11,White,Ribbed,Eco-Friendly,Boho,4944,20%,Sports Socks,Virat Kohli,Winter,2025,Yes,4.4
MTR10042,Sporty Sneakers,Accessories,Scarves,Allen Solly,Men,"M, L, XL",Pink,Soft,Recycled,Retro,2476,25%,Statement Brooch,None,All Season,2025,Yes,3.9
MTR10043,Graphic Scarves,Footwear,Blazers,Levi’s,Unisex,"M, L, XL",Beige,Ribbed,Standard,Streetwear,1932,30%,Sunglasses,Ranveer Singh,Winter,2024,No,4.2
MTR10044,Printed Sneakers,Bottomwear,Hoodies,Levi’s,Unisex,Free Size,Olive,Soft,Standard,Athleisure,4713,20%,Watch,Ranveer Singh,Summer,2023,Yes,3.5
MTR10045,Printed Sneakers,Ethnic,Blazers,Puma,Women,"S, M, L, XL",Grey,Glossy,Eco-Friendly,Y2K,5826,20%,Silver Jhumkas,Virat Kohli,Summer,2024,No,4.0
MTR10046,Floral Sandals,Bottomwear,Tracks,Biba,Unisex,"S, M, L, XL",Pink,Textured,Eco-Friendly,Boho,5912,20%,Leather Belt,Ranveer Singh,Summer,2025,Yes,5.0
MTR10047,Slim Fit Blazers,Accessories,Sandals,H&M,Women,"S, M, L, XL",White,Smooth,Standard,Minimalist,1179,25%,Watch,Ranveer Singh,Winter,2024,No,4.7
MTR10048,Sporty Jeans,Footwear,Kurtis,Roadster,Men,"XS, S, M, L",Pink,Matte,Eco-Friendly,Y2K,2289,25%,Leather Belt,None,Summer,2025,Yes,4.8
MTR10049,Casual Sandals,Footwear,Sneakers,Roadster,Unisex,"XS, S, M, L",Grey,Smooth,Recycled,Streetwear,5520,25%,Leather Belt,Ranveer Singh,Winter,2024,Yes,4.6
MTR10050,Printed Jeans,Topwear,Jeans,Adidas,Men,"XS, S, M, L",Beige,Glossy,Eco-Friendly,Streetwear,1405,20%,Watch,Kareena Kapoor,All Season,2024,No,4.6
MTR10051,Formal Kurtis,Accessories,Sandals,H&M,Unisex,"XS, S, M, L",Yellow,Glossy,Recycled,Minimalist,5018,20%,Watch,Deepika Padukone,Summer,2025,No,3.7
MTR10052,Sporty Hoodies,Topwear,Scarves,Roadster,Men,UK 6–11,Red,Soft,Recycled,Streetwear,4171,15%,Statement Brooch,Deepika Padukone,Winter,2024,No,3.9
MTR10053,Floral Scarves,Bottomwear,Scarves,Allen Solly,Women,"XS, S, M, L",Olive,Matte,Recycled,Streetwear,5584,20%,Cap,None,All Season,2023,Yes,4.0
MTR10054,Slim Fit Jeans,Footwear,Jeans,Puma,Women,"XS, S, M, L",Black,Soft,Standard,Boho,999,20%,Cap,None,All Season,2024,Yes,4.8
MTR10055,Sporty Hoodies,Accessories,Jeans,Puma,Women,Free Size,Pastel Green,Ribbed,Standard,Y2K,3798,30%,Leather Belt,Ranveer Singh,Summer,2023,Yes,4.0
MTR10056,Sporty Tracks,Winterwear,Scarves,Zara,Unisex,"M, L, XL",Navy Blue,Smooth,Premium,Athleisure,2805,15%,Leather Belt,Ranveer Singh,Summer,2024,Yes,3.7
MTR10057,Casual T-Shirt,Accessories,Jeans,U.S. Polo Assn.,Men,"M, L, XL",Red,Matte,Eco-Friendly,Minimalist,1691,30%,Sunglasses,Kiara Advani,All Season,2025,No,4.4
MTR10058,Floral Scarves,Winterwear,Kurtis,Roadster,Men,Free Size,Pink,Ribbed,Standard,Retro,4262,10%,Sunglasses,Kiara Advani,All Season,2024,Yes,4.9
MTR10059,Sporty Jeans,Footwear,Shirts,Biba,Men,UK 6–11,Beige,Matte,Premium,Streetwear,4070,15%,Sports Socks,Kareena Kapoor,Winter,2023,Yes,5.0
MTR10060,Casual Sandals,Ethnic,Blazers,Roadster,Women,Free Size,Navy Blue,Textured,Premium,Y2K,2152,30%,Statement Brooch,None,Summer,2024,No,4.6
MTR10061,Formal Blazers,Ethnic,Scarves,Puma,Unisex,"S, M, L, XL",Navy Blue,Smooth,Standard,Minimalist,2739,25%,Statement Brooch,Kiara Advani,Winter,2024,No,4.6
MTR10062,Floral Scarves,Ethnic,Sandals,Allen Solly,Men,"M, L, XL",Grey,Textured,Premium,Athleisure,3721,15%,Sports Socks,Ranveer Singh,Winter,2025,Yes,5.0
MTR10063,Printed Jeans,Accessories,Hoodies,Allen Solly,Women,UK 6–11,Pink,Smooth,Premium,Boho,5913,10%,Silver Jhumkas,None,Summer,2024,Yes,4.9
MTR10064,Printed Sneakers,Topwear,Sandals,Adidas,Women,"XS, S, M, L",White,Ribbed,Recycled,Retro,2793,15%,Watch,Virat Kohli,All Season,2024,Yes,4.6
MTR10065,Slim Fit Sandals,Ethnic,Sandals,Biba,Men,"M, L, XL",Olive,Rough,Premium,Athleisure,5092,30%,Watch,Virat Kohli,Winter,2024,Yes,4.9
MTR10066,Sporty Tracks,Accessories,Kurtis,Biba,Women,"M, L, XL",White,Ribbed,Premium,Boho,728,20%,Cap,Ranveer Singh,Summer,2024,No,4.4
MTR10067,Basic Kurtis,Topwear,Blazers,U.S. Polo Assn.,Men,Free Size,Navy Blue,Rough,Premium,Retro,4465,15%,Cap,Kareena Kapoor,Winter,2024,No,4.5
MTR10068,Casual Blazers,Footwear,Jeans,Levi’s,Unisex,"S, M, L, XL",White,Soft,Standard,Minimalist,5378,30%,Sunglasses,Virat Kohli,All Season,2025,Yes,4.0
MTR10069,Slim Fit Kurtis,Ethnic,T-Shirt,Biba,Unisex,"XS, S, M, L",Olive,Rough,Eco-Friendly,Minimalist,5022,25%,Sunglasses,Virat Kohli,Winter,2024,No,4.0
MTR10070,Formal T-Shirt,Topwear,Hoodies,Levi’s,Women,Free Size,Pink,Textured,Standard,Boho,2044,25%,Leather Belt,Deepika Padukone,Winter,2023,Yes,4.7
MTR10071,Sporty Shirts,Topwear,Shirts,Nike,Women,"S, M, L, XL",Pastel Green,Smooth,Eco-Friendly,Athleisure,1293,10%,Cap,Kareena Kapoor,Winter,2025,No,4.2
MTR10072,Slim Fit Tracks,Accessories,Blazers,Nike,Women,"XS, S, M, L",Black,Ribbed,Standard,Boho,4435,15%,Sports Socks,Kareena Kapoor,Winter,2025,Yes,4.1
MTR10073,Floral Blazers,Bottomwear,Shirts,H&M,Women,Free Size,Yellow,Matte,Premium,Boho,4934,20%,Statement Brooch,None,All Season,2025,Yes,3.9
MTR10074,Slim Fit T-Shirt,Winterwear,Hoodies,Puma,Unisex,"M, L, XL",Olive,Matte,Eco-Friendly,Streetwear,5598,10%,Statement Brooch,Kareena Kapoor,Summer,2024,Yes,3.5
MTR10075,Basic Scarves,Topwear,Sneakers,Biba,Men,UK 6–11,Grey,Smooth,Recycled,Y2K,1988,15%,Leather Belt,Virat Kohli,Winter,2023,No,4.2
MTR10076,Slim Fit Jeans,Bottomwear,Sneakers,Roadster,Unisex,UK 6–11,Black,Soft,Eco-Friendly,Y2K,2114,30%,Silver Jhumkas,Ranveer Singh,All Season,2023,No,4.3
MTR10077,Floral Scarves,Winterwear,Jeans,Nike,Unisex,"S, M, L, XL",Yellow,Rough,Eco-Friendly,Athleisure,4751,20%,Cap,Ranveer Singh,Winter,2023,Yes,3.9
MTR10078,Printed Kurtis,Ethnic,Scarves,Levi’s,Men,"M, L, XL",Pastel Green,Soft,Recycled,Boho,3470,15%,Sunglasses,Deepika Padukone,Winter,2024,Yes,4.3
MTR10079,Basic Sandals,Topwear,Hoodies,Zara,Women,Free Size,Black,Rough,Premium,Boho,1863,10%,Sunglasses,Kareena Kapoor,Winter,2023,No,4.0
MTR10080,Graphic Jeans,Topwear,Tracks,U.S. Polo Assn.,Men,UK 6–11,Yellow,Ribbed,Recycled,Boho,5923,20%,Leather Belt,Ranveer Singh,All Season,2024,No,4.8
MTR10081,Printed Hoodies,Ethnic,Hoodies,Puma,Men,UK 6–11,Grey,Ribbed,Recycled,Streetwear,3872,10%,Sunglasses,Virat Kohli,Summer,2024,Yes,3.7
MTR10082,Slim Fit Sneakers,Bottomwear,Kurtis,Biba,Unisex,"M, L, XL",Red,Ribbed,Standard,Streetwear,2904,30%,Silver Jhumkas,Virat Kohli,Summer,2023,No,4.4
MTR10083,Printed Blazers,Accessories,T-Shirt,H&M,Women,"XS, S, M, L",Pink,Smooth,Eco-Friendly,Boho,2852,20%,Watch,Deepika Padukone,All Season,2025,No,5.0
MTR10084,Casual T-Shirt,Accessories,Sneakers,H&M,Men,Free Size,Red,Glossy,Recycled,Athleisure,1732,25%,Sunglasses,Deepika Padukone,Summer,2023,Yes,4.0
MTR10085,Sporty Scarves,Ethnic,Jeans,Zara,Men,UK 6–11,Pastel Green,Textured,Eco-Friendly,Y2K,3049,20%,Silver Jhumkas,Deepika Padukone,All Season,2025,Yes,3.7
MTR10086,Graphic Hoodies,Ethnic,Kurtis,H&M,Men,"M, L, XL",Pastel Green,Ribbed,Recycled,Athleisure,1445,15%,Cap,Ranveer Singh,All Season,2024,No,4.4
MTR10087,Slim Fit Tracks,Accessories,Scarves,H&M,Women,UK 6–11,Navy Blue,Matte,Standard,Y2K,3551,15%,Leather Belt,Kiara Advani,All Season,2023,No,4.9
MTR10088,Basic Scarves,Topwear,Shirts,Roadster,Women,UK 6–11,Black,Matte,Premium,Y2K,2899,15%,Watch,None,All Season,2025,No,4.6
MTR10089,Sporty Tracks,Winterwear,Hoodies,Levi’s,Men,"S, M, L, XL",Pink,Ribbed,Recycled,Retro,1170,15%,Sunglasses,Virat Kohli,Winter,2024,Yes,4.9
MTR10090,Graphic T-Shirt,Bottomwear,Tracks,Roadster,Unisex,Free Size,Grey,Matte,Eco-Friendly,Retro,1705,15%,Statement Brooch,Deepika Padukone,Winter,2024,No,4.7
MTR10091,Floral Hoodies,Bottomwear,T-Shirt,Zara,Men,UK 6–11,Pink,Glossy,Premium,Athleisure,3317,15%,Sports Socks,None,All Season,2023,No,3.6
MTR10092,Floral Scarves,Winterwear,Blazers,H&M,Men,UK 6–11,Pink,Glossy,Recycled,Minimalist,3317,15%,Leather Belt,Kareena Kapoor,All Season,2023,No,4.2
MTR10093,Slim Fit Blazers,Bottomwear,Hoodies,Puma,Women,UK 6–11,Beige,Soft,Premium,Retro,4126,15%,Leather Belt,Ranveer Singh,All Season,2024,No,4.9
MTR10094,Printed Blazers,Ethnic,Shirts,Levi’s,Unisex,UK 6–11,Beige,Ribbed,Recycled,Boho,2040,25%,Watch,Kiara Advani,Summer,2024,No,4.5
MTR10095,Printed Kurtis,Bottomwear,Sneakers,U.S. Polo Assn.,Women,"M, L, XL",Yellow,Matte,Premium,Y2K,4981,15%,Cap,Deepika Padukone,Winter,2023,No,4.2
MTR10096,Floral Scarves,Accessories,Jeans,Nike,Unisex,"XS, S, M, L",Yellow,Soft,Premium,Athleisure,1416,10%,Statement Brooch,Kiara Advani,Winter,2023,No,4.1
MTR10097,Sporty T-Shirt,Winterwear,Jeans,Nike,Men,"M, L, XL",Grey,Ribbed,Standard,Boho,4252,10%,Leather Belt,Kiara Advani,Winter,2023,No,4.2
MTR10098,Basic Kurtis,Ethnic,Hoodies,Biba,Women,Free Size,White,Glossy,Recycled,Minimalist,972,20%,Silver Jhumkas,Ranveer Singh,Winter,2024,No,4.2
MTR10099,Basic Jeans,Winterwear,Hoodies,H&M,Unisex,UK 6–11,Yellow,Smooth,Recycled,Retro,4808,15%,Statement Brooch,Kiara Advani,All Season,2025,No,4.9
MTR10100,Sporty Kurtis,Bottomwear,Kurtis,U.S. Polo Assn.,Women,Free Size,Navy Blue,Glossy,Standard,Athleisure,5534,20%,Sports Socks,Virat Kohli,Summer,2025,Yes,3.8
MTR10101,Casual T-Shirt,Winterwear,Hoodies,Levi’s,Women,"XS, S, M, L",Olive,Glossy,Eco-Friendly,Y2K,1407,30%,Sports Socks,Kiara Advani,Winter,2023,No,4.0
MTR10102,Printed Tracks,Topwear,Kurtis,Roadster,Unisex,UK 6–11,Navy Blue,Smooth,Eco-Friendly,Y2K,577,20%,Cap,None,All Season,2023,Yes,4.4
MTR10103,Printed Hoodies,Accessories,Kurtis,U.S. Polo Assn.,Unisex,"S, M, L, XL",Pink,Textured,Recycled,Y2K,2517,20%,Sports Socks,Deepika Padukone,All Season,2023,No,4.3
MTR10104,Formal Jeans,Ethnic,Hoodies,Nike,Women,UK 6–11,Olive,Glossy,Eco-Friendly,Streetwear,1405,15%,Watch,Kiara Advani,All Season,2025,Yes,4.8
MTR10105,Casual Sandals,Topwear,Sneakers,Puma,Women,UK 6–11,Navy Blue,Glossy,Eco-Friendly,Minimalist,5876,20%,Sunglasses,Virat Kohli,Winter,2024,Yes,4.1
MTR10106,Printed Shirts,Ethnic,Tracks,Levi’s,Women,UK 6–11,Yellow,Glossy,Premium,Y2K,2911,20%,Sports Socks,Deepika Padukone,Winter,2025,No,4.9
MTR10107,Slim Fit Scarves,Winterwear,T-Shirt,H&M,Men,"S, M, L, XL",Beige,Glossy,Premium,Minimalist,1671,25%,Statement Brooch,Kiara Advani,Winter,2025,Yes,4.4
MTR10108,Formal Shirts,Accessories,Jeans,Biba,Men,"S, M, L, XL",Pink,Soft,Standard,Minimalist,2247,30%,Leather Belt,None,Summer,2024,No,4.8
MTR10109,Printed Blazers,Accessories,T-Shirt,U.S. Polo Assn.,Women,Free Size,Navy Blue,Soft,Recycled,Y2K,3869,30%,Leather Belt,Virat Kohli,All Season,2024,No,3.7
MTR10110,Floral T-Shirt,Accessories,Kurtis,Levi’s,Men,Free Size,Beige,Rough,Eco-Friendly,Retro,5319,30%,Statement Brooch,Ranveer Singh,Summer,2023,Yes,4.5
MTR10111,Graphic Jeans,Winterwear,Sneakers,Allen Solly,Unisex,"M, L, XL",Yellow,Textured,Recycled,Streetwear,4331,10%,Sports Socks,Kareena Kapoor,Winter,2024,Yes,3.6
MTR10112,Basic Scarves,Accessories,Blazers,U.S. Polo Assn.,Unisex,"XS, S, M, L",Red,Matte,Eco-Friendly,Minimalist,2249,20%,Sunglasses,Kareena Kapoor,Summer,2024,No,4.0
MTR10113,Sporty Sneakers,Topwear,Blazers,U.S. Polo Assn.,Unisex,Free Size,Pastel Green,Soft,Standard,Y2K,3444,15%,Sunglasses,Deepika Padukone,Winter,2025,Yes,3.6
MTR10114,Formal Shirts,Footwear,Sandals,Allen Solly,Women,UK 6–11,Black,Glossy,Standard,Boho,2008,20%,Silver Jhumkas,Kiara Advani,All Season,2024,Yes,3.7
MTR10115,Sporty Tracks,Topwear,Hoodies,U.S. Polo Assn.,Men,Free Size,Red,Soft,Recycled,Retro,4989,30%,Watch,None,All Season,2025,Yes,4.1
MTR10116,Graphic Sneakers,Bottomwear,Sandals,Allen Solly,Women,UK 6–11,Yellow,Glossy,Standard,Minimalist,4774,15%,Sunglasses,Deepika Padukone,Summer,2025,Yes,3.8
MTR10117,Slim Fit Blazers,Winterwear,Sandals,U.S. Polo Assn.,Women,UK 6–11,Navy Blue,Smooth,Standard,Y2K,906,30%,Sunglasses,Virat Kohli,Summer,2024,Yes,4.6
MTR10118,Basic Jeans,Accessories,Shirts,U.S. Polo Assn.,Women,"XS, S, M, L",Navy Blue,Ribbed,Premium,Athleisure,3144,30%,Silver Jhumkas,Kiara Advani,All Season,2024,No,4.9
MTR10119,Graphic Blazers,Winterwear,Blazers,Levi’s,Men,Free Size,Grey,Glossy,Eco-Friendly,Streetwear,5018,10%,Silver Jhumkas,None,All Season,2024,No,4.5
MTR10120,Slim Fit Kurtis,Footwear,Jeans,Roadster,Unisex,"S, M, L, XL",Navy Blue,Soft,Standard,Athleisure,4038,20%,Cap,Kiara Advani,Winter,2023,No,4.0
MTR10121,Graphic T-Shirt,Winterwear,Sneakers,U.S. Polo Assn.,Unisex,Free Size,Pink,Ribbed,Recycled,Retro,2171,10%,Cap,Kareena Kapoor,All Season,2024,No,3.9
MTR10122,Sporty Sandals,Footwear,Tracks,Zara,Men,UK 6–11,Yellow,Textured,Recycled,Streetwear,3015,10%,Leather Belt,Kareena Kapoor,Winter,2024,No,4.0
MTR10123,Sporty Hoodies,Winterwear,Blazers,Roadster,Women,Free Size,Navy Blue,Ribbed,Standard,Boho,5256,10%,Leather Belt,Virat Kohli,All Season,2024,Yes,4.3
MTR10124,Casual Sandals,Footwear,Jeans,Biba,Women,UK 6–11,Olive,Rough,Premium,Streetwear,4342,25%,Sunglasses,None,All Season,2024,Yes,4.2
MTR10125,Slim Fit Shirts,Accessories,Sandals,U.S. Polo Assn.,Unisex,Free Size,Beige,Smooth,Eco-Friendly,Athleisure,5349,30%,Statement Brooch,Deepika Padukone,Summer,2023,Yes,3.9
MTR10126,Graphic Kurtis,Winterwear,Jeans,Roadster,Unisex,Free Size,Red,Rough,Premium,Streetwear,5485,30%,Watch,None,All Season,2024,No,3.7
MTR10127,Floral Kurtis,Topwear,Sandals,Adidas,Women,"S, M, L, XL",Grey,Rough,Standard,Streetwear,2140,20%,Statement Brooch,Virat Kohli,Summer,2023,Yes,4.6
MTR10128,Floral Sneakers,Ethnic,Tracks,U.S. Polo Assn.,Women,"XS, S, M, L",White,Smooth,Standard,Boho,5701,20%,Silver Jhumkas,Virat Kohli,All Season,2024,No,3.7
MTR10129,Slim Fit Shirts,Accessories,T-Shirt,Puma,Unisex,Free Size,Grey,Textured,Recycled,Streetwear,2979,10%,Leather Belt,Virat Kohli,All Season,2025,Yes,4.5
MTR10130,Basic Blazers,Accessories,Hoodies,Adidas,Men,UK 6–11,Pink,Glossy,Eco-Friendly,Boho,3323,25%,Watch,Kiara Advani,All Season,2025,No,4.5
MTR10131,Sporty Sneakers,Footwear,Jeans,H&M,Men,Free Size,Black,Ribbed,Premium,Retro,5251,10%,Watch,Kareena Kapoor,All Season,2024,Yes,4.6
MTR10132,Slim Fit Hoodies,Footwear,Jeans,Biba,Unisex,"M, L, XL",White,Matte,Recycled,Retro,3477,20%,Leather Belt,Ranveer Singh,All Season,2024,No,4.4
MTR10133,Slim Fit Sandals,Footwear,Scarves,Allen Solly,Women,"S, M, L, XL",Yellow,Smooth,Recycled,Minimalist,1949,25%,Leather Belt,Virat Kohli,Winter,2025,No,4.3
MTR10134,Formal Hoodies,Ethnic,Sandals,Biba,Unisex,Free Size,Navy Blue,Textured,Standard,Athleisure,4698,15%,Statement Brooch,Kareena Kapoor,Winter,2023,No,3.9
MTR10135,Floral Tracks,Bottomwear,Blazers,Zara,Men,"S, M, L, XL",Navy Blue,Glossy,Eco-Friendly,Y2K,2602,15%,Leather Belt,Ranveer Singh,All Season,2024,Yes,3.7
MTR10136,Printed Blazers,Bottomwear,Scarves,Puma,Women,"M, L, XL",Red,Soft,Eco-Friendly,Y2K,5499,10%,Leather Belt,None,Summer,2023,Yes,3.8
MTR10137,Printed Scarves,Bottomwear,Blazers,Adidas,Women,UK 6–11,Black,Matte,Eco-Friendly,Retro,4780,20%,Sports Socks,Deepika Padukone,Summer,2023,No,3.6
MTR10138,Formal T-Shirt,Winterwear,Sneakers,U.S. Polo Assn.,Women,"M, L, XL",Beige,Ribbed,Eco-Friendly,Athleisure,3046,10%,Cap,None,Summer,2023,No,4.3
MTR10139,Sporty Tracks,Footwear,Sneakers,Roadster,Men,"S, M, L, XL",Red,Smooth,Standard,Boho,3134,25%,Watch,Deepika Padukone,Winter,2024,No,4.3
MTR10140,Printed Shirts,Topwear,Sandals,U.S. Polo Assn.,Men,"S, M, L, XL",White,Soft,Standard,Retro,906,15%,Sunglasses,Ranveer Singh,Winter,2023,No,4.3
